Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.6082E-16,-8.8818E-16,-0.005,0,0,0,3300,61875,1.6014E-11,4.0947E-10,133100,1.6917E-12,194980,0,0,0,0,0,0,package://track3_1.0/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://track3_1.0/meshes/base_link.STL,,底板-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
start_link,-4.2744E-15,1.1102E-16,-8.0435E-05,0,0,0,0.07728,0.0041676,9.774E-18,-1.7024E-19,0.0011723,3.9882E-20,0.0053399,0,0,0,0,0,0,package://track3_1.0/meshes/start_link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/start_link.STL,,开始线-1,坐标系start,,start_jiont,prismatic,0.63447,-5.5,0.0202,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
parcking_link,1.4211E-14,1.3323E-15,-5E-05,0,0,0,0.00752,0.00029019,-1.3833E-17,-1.8916E-19,0.0008468,-9.4934E-21,0.001137,0,0,0,0,0,0,package://track3_1.0/meshes/parcking_link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/parcking_link.STL,,停车库外围-1;停车库内围-1,坐标系parcking,,parckling_joint,fixed,5.9402,-4.82,0.0203,0,0,0,base_link,0,0,0,,,,,,,,,,,,
traffic_link,0.055,-1.1102E-16,-1.1102E-16,0,0,0,0.90383,0.0010895,-1.5023E-20,6.2507E-20,0.00057364,8.6124E-34,0.00057364,0,0,0,0,0,0,package://track3_1.0/meshes/traffic_link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/traffic_link.STL,,红绿灯灯体-1,坐标系traffic,,traffic_joint,fixed,0.57947,-5.5,0.54865,0,0,0,base_link,0,0,0,,,,,,,,,,,,
green_Link,-0.47074,0.56626,0.020025,0,0,0,0.53899,2.364,-1.5628,-3.1905E-15,13.132,7.5819E-17,15.496,0,0,0,0,0,0,package://track3_1.0/meshes/green_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/green_Link.STL,,绿化道-1,坐标系base,,gree_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
track_Link,2.1275,0.50356,0.12564,0,0,0,5084.3,29725,-12836,45.819,93015,-0.48054,122410,0,0,0,0,0,0,package://track3_1.0/meshes/track_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/track_Link.STL,,减速带近路段-1;停车段-1;起始段-1;仓库-1/巡检仓库-1,坐标系base,,track_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant1_Link,-1.7764E-15,8.8818E-16,-0.38022,0,0,0,1090.8,84.984,-1.6426E-13,1.6842E-12,576.13,-7.8204E-15,556.2,0,0,0,0,0,0,package://track3_1.0/meshes/plant1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/plant1_Link.STL,,仓库-1/实验室架-13,坐标系1,,plant1_joint,fixed,8.9598,-1.15,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant2_Link,-2.6645E-15,0,-0.38022,0,0,0,1090.8,84.984,1.7133E-13,1.4046E-12,576.13,5.1668E-15,556.2,0,0,0,0,0,0,package://track3_1.0/meshes/plant2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/plant2_Link.STL,,仓库-1/实验室架-15,坐标系2,,plant2_joint,fixed,5.0598,-1.15,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant3_Link,-1.7764E-15,0,-0.38022,0,0,0,1090.8,84.984,1.1208E-13,1.6393E-12,576.13,-9.1518E-15,556.2,0,0,0,0,0,0,package://track3_1.0/meshes/plant3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/plant3_Link.STL,,仓库-1/实验室架-18,坐标系3,,plan3_joint,fixed,2.6598,-1.15,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant4_Link,0,8.8818E-16,-0.38022,0,0,0,1090.8,84.984,2.1725E-13,1.4643E-12,576.13,6.621E-15,556.2,0,0,0,0,0,0,package://track3_1.0/meshes/plant4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_1.0/meshes/plant4_Link.STL,,仓库-1/实验室架-6,坐标系4,,plant4_joint,fixed,7.7598,0.45,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
