Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.88578058618805E-16,-8.88178419700125E-16,-0.005,0,0,0,3300,61875.0275,1.60142732408257E-11,4.09473402498801E-10,133100.0275,1.69172348024233E-12,194975,0,0,0,0,0,0,package://track3_v4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://track3_v4/meshes/base_link.STL,,底板-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
start_link,-4.32986979603811E-15,4.44089209850063E-16,-0.000106249999999992,0,0,0,0.094080000000001,0.00506363272152495,6.31138807377998E-18,-2.05891115814568E-19,0.00141926472152495,4.96500945518182E-20,0.0064828959999999,0,0,0,0,0,0,package://track3_v4/meshes/start_link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/start_link.STL,,开始线-1,坐标系start,,start_jiont,fixed,0.0502,-5.5,0.02025,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
parcking_link,1.24344978758018E-14,1.11022302462516E-15,-5.00000000000361E-05,0,0,0,0.00751999999999994,0.000290194672933331,-1.37404398043828E-17,-1.89144730177403E-19,0.00084680267293343,-9.47161436868693E-21,0.00113699733333343,0,0,0,0,0,0,package://track3_v4/meshes/parcking_link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/parcking_link.STL,,停车库外围-1;停车库内围-1,坐标系parcking,,parckling_joint,fixed,5.9402,-4.82,0.0203,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bumps_link,5.1875382433675,-2.4655991498413,0.0330897713115452,0,0,0,1863.70221922842,18151.897579971,-12532.7755939213,-0.643659731166868,61185.6982832296,-0.291164498938179,79324.7872144186,0,0,0,0,0,0,package://track3_v4/meshes/bumps_link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/bumps_link.STL,,减速带近路段-1,坐标系10,,bumps_joint,fixed,-7.609,5.5,0.02025,0,0,0,base_link,0,0,0,,,,,,,,,,,,
green_Link,-0.470735903563987,0.566261266264494,0.0200999999999958,0,0,0,2.15594097411181,9.45583555974584,-6.251344742137,-1.27624195024104E-14,52.527303111184,3.0253351146191E-16,61.9831386565569,0,0,0,0,0,0,package://track3_v4/meshes/green_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/green_Link.STL,,绿化道-1,坐标系base,,gree_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
track_Link,2.13038792152675,0.515145131376862,0.124896764072089,0,0,0,5074.50736598916,29722.5245190942,-12835.5291785909,50.6033641159626,93001.1529090615,-0.480541751497473,122393.838111133,0,0,0,0,0,0,package://track3_v4/meshes/track_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/track_Link.STL,,减速带近路段-1;停车段-1;起始段-1;仓库-1/巡检仓库-1,坐标系base,,track_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant1_Link,0,8.88178419700125E-16,-0.380223713393525,0,0,0,1090.83858336053,84.9844742925411,-1.62955586524571E-13,1.68499922341508E-12,576.1257266779,-7.83546175200574E-15,556.200077325058,0,0,0,0,0,0,package://track3_v4/meshes/plant1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/plant1_Link.STL,,仓库-1/实验室架-13,坐标系1,,plant1_joint,fixed,8.9598,-1.15,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant2_Link,-1.77635683940025E-15,8.88178419700125E-16,-0.380223713393525,0,0,0,1090.83858336053,84.984474292541,1.71737624121704E-13,1.40559707659638E-12,576.125726677901,5.00317841119754E-15,556.200077325059,0,0,0,0,0,0,package://track3_v4/meshes/plant2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/plant2_Link.STL,,仓库-1/实验室架-15,坐标系2,,plant2_joint,fixed,5.0598,-1.15,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant3_Link,-1.77635683940025E-15,0,-0.380223713393525,0,0,0,1090.83858336053,84.9844742925411,1.1221492485225E-13,1.64069548476305E-12,576.1257266779,-8.79604189001007E-15,556.200077325058,0,0,0,0,0,0,package://track3_v4/meshes/plant3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/plant3_Link.STL,,仓库-1/实验室架-18,坐标系3,,plan3_joint,fixed,2.6598,-1.15,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plant4_Link,-8.88178419700125E-16,0,-0.380223713393525,0,0,0,1090.83858336053,84.984474292541,2.18087266995459E-13,1.46392335438254E-12,576.125726677901,6.5565655220984E-15,556.200077325059,0,0,0,0,0,0,package://track3_v4/meshes/plant4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track3_v4/meshes/plant4_Link.STL,,仓库-1/实验室架-6,坐标系4,,plant4_joint,fixed,7.7598,0.45,0.781,0,0,0,base_link,0,0,0,,,,,,,,,,,,
